season,pno,name,team,color,pos,war,owar,dwar,wrcplus,pa,hr,ops,sb,rbi,hit,run,iso,bbpct,kpct,sbrate,arch
1982,1017,백인천,M,#1552f8,LF,5.75,6.46,-0.71,237.9,298,19,1.237,11,64,103,55,0.328,14.1,5.7,3.7,💪 슬러거
1982,1023,윤동균,O,#15326f,LF,4.38,4.88,-0.5,178.6,334,8,0.96,9,47,97,54,0.19,13.5,8.1,2.7,💪 슬러거
1982,1095,정학수,롯,#888888,2B,3.7,2.48,1.22,126.8,345,2,0.764,13,25,76,47,0.094,15.4,7.5,3.8,👁 출루형
1982,1027,장태수,삼,#0061aa,RF,3.46,3.53,-0.07,176.7,264,3,0.931,34,27,72,42,0.141,15.9,12.5,12.9,🏃 호타준족
1982,1025,이만수,삼,#0061aa,C,3.42,3.56,-0.13,152.2,322,13,0.899,6,51,78,46,0.211,14.3,8.4,1.9,💪 슬러거
1982,1011,김우열,O,#15326f,CF,3.26,3.18,0.08,161.8,255,13,0.96,14,41,65,43,0.223,14.9,9.8,5.5,💪 슬러거
1982,1005,김봉연,해,#ff0c00,DH,3.18,4.26,-1.07,175.0,304,22,1.041,7,52,89,55,0.305,9.2,5.3,2.3,💪 슬러거
1982,1026,이종도,M,#1552f8,RF,3.12,3.73,-0.61,148.6,327,11,0.892,21,48,93,52,0.174,9.8,15.6,6.4,🏃 호타준족
1982,1022,오대석,삼,#0061aa,SS,3.1,2.47,0.63,120.5,307,4,0.769,14,30,73,48,0.112,12.1,11.1,4.6,👁 출루형
1982,1003,금광옥,삼미,#88b7e1,C,2.98,2.31,0.67,126.9,306,9,0.805,2,37,71,38,0.171,12.7,9.8,0.7,👁 출루형
1982,1001,구천서,O,#15326f,2B,2.95,2.93,0.02,138.9,316,3,0.826,9,25,82,45,0.113,11.1,10.1,2.8,👁 출루형
1982,1015,김준환,해,#ff0c00,RF,2.95,2.98,-0.04,137.3,331,19,0.896,10,45,92,50,0.248,5.7,6.9,3.0,🎯 정교한 타자
1982,1031,조흥운,삼미,#88b7e1,SS,2.88,2.01,0.87,109.2,327,4,0.74,44,35,85,43,0.121,7.3,8.9,13.5,🏃 호타준족
1982,1009,김용철,롯,#888888,3B,2.81,2.91,-0.09,147.4,300,10,0.873,6,39,76,39,0.17,13.7,10.0,2.0,💪 슬러거
1982,1013,김일권,해,#ff0c00,CF,2.74,2.51,0.23,124.7,330,11,0.804,53,36,76,48,0.166,12.7,5.5,16.1,🏃 호타준족
1982,1014,김정수,롯,#888888,1B,2.62,3.01,-0.39,137.5,333,11,0.843,15,49,76,51,0.188,14.7,9.0,4.5,💪 슬러거
1982,1034,허규옥,삼,#0061aa,LF,2.23,2.48,-0.26,134.0,242,3,0.797,27,22,60,41,0.117,13.2,11.2,11.2,🏃 호타준족
1982,1019,신경식,O,#15326f,1B,2.19,2.69,-0.51,135.0,320,4,0.847,14,54,98,40,0.134,6.2,5.3,4.4,🎯 정교한 타자
1982,1033,차영화,해,#ff0c00,SS,1.99,1.03,0.96,86.4,323,1,0.645,32,12,73,46,0.05,9.6,6.2,9.9,🏃 호타준족
1982,12726,김성한,해,#ff0c00,1B,1.75,2.41,-0.66,121.1,340,13,0.841,10,69,97,48,0.201,2.6,16.2,2.9,🎯 정교한 타자
1982,1037,김한근,삼,#0061aa,3B,1.62,1.43,0.19,115.3,227,5,0.77,4,28,51,33,0.156,10.6,11.9,1.8,🎯 정교한 타자
1982,1051,정현발,삼,#0061aa,DH,1.6,1.95,-0.35,151.1,179,5,0.869,4,26,42,31,0.178,15.6,9.5,2.2,💪 슬러거
1982,1068,김호인,삼미,#88b7e1,CF,1.52,1.49,0.03,113.3,237,6,0.769,4,24,60,23,0.158,7.2,8.9,1.7,🎯 정교한 타자
1982,1024,이광은,M,#1552f8,3B,1.5,2.01,-0.51,122.6,271,5,0.821,17,36,76,46,0.152,4.4,5.9,6.3,🏃 호타준족
1982,1064,김종모,해,#ff0c00,LF,1.33,1.71,-0.37,108.6,286,10,0.786,7,43,75,28,0.162,5.9,9.4,2.4,🎯 정교한 타자
1982,1016,배대웅,삼,#0061aa,SS,1.32,0.57,0.75,77.3,263,5,0.636,7,27,54,30,0.102,9.5,3.8,2.7,👁 출루형
1982,11471,김용희,롯,#888888,3B,1.19,1.95,-0.76,119.9,263,11,0.814,4,38,66,33,0.173,9.5,7.2,1.5,🎯 정교한 타자
1982,1006,김성관,롯,#888888,LF,1.19,1.6,-0.42,101.9,304,7,0.75,16,40,75,38,0.139,5.9,8.6,5.3,🏃 호타준족
1982,1032,차동열,롯,#888888,C,1.16,0.54,0.62,80.1,232,2,0.638,7,19,52,22,0.068,8.2,14.7,3.0,🧤 수비형·백업
1982,1072,박용성,롯,#888888,RF,1.13,1.57,-0.44,129.9,198,11,0.883,0,38,49,24,0.239,8.6,14.1,0.0,🎯 정교한 타자
1982,1007,김용달,M,#1552f8,3B,1.13,1.76,-0.63,141.2,191,5,0.845,2,23,53,29,0.149,9.9,15.2,1.0,🎯 정교한 타자
1982,1083,유승안,M,#1552f8,C,1.09,0.93,0.16,115.9,166,9,0.822,2,29,36,23,0.225,12.7,17.5,1.2,💪 슬러거
1982,1004,김경남,삼미,#88b7e1,2B,0.86,0.96,-0.1,85.5,314,3,0.682,2,27,80,28,0.115,4.1,11.5,0.6,🧤 수비형·백업
1982,1039,박정환,삼,#0061aa,2B,0.84,1.12,-0.28,128.5,136,5,0.86,2,24,36,17,0.192,6.6,17.6,1.5,🎯 정교한 타자
1982,1093,장정기,삼미,#88b7e1,1B,0.77,0.95,-0.18,89.1,278,3,0.669,7,27,55,34,0.098,11.5,9.7,2.5,👁 출루형
1982,11476,조범현,O,#15326f,C,0.74,0.5,0.24,98.0,126,2,0.721,2,9,32,12,0.144,4.8,17.5,1.6,🎯 정교한 타자
1982,1092,임정면,해,#ff0c00,3B,0.74,0.37,0.37,95.1,90,1,0.679,2,5,16,10,0.123,13.3,12.2,2.2,👁 출루형
1982,1045,유지훤,O,#15326f,SS,0.71,0.46,0.26,76.4,299,4,0.656,12,38,69,29,0.109,5.0,5.0,4.0,🧤 수비형·백업
