season,pno,name,team,color,role,war,era,fip,ip,so,gs,sv,hd,win,k9,bb9,hr9,is_starter,arch
1982,1105,박철순,O,#15326f,선발,9.41,1.84,2.86,224.2,108,19,7,0,24,4.34,2.69,0.28,1,🧱 이닝이터
1982,1112,황규봉,삼,#0061aa,선발,7.24,2.47,2.69,222.1,99,16,11,0,15,4.01,1.38,0.45,1,🧱 이닝이터
1982,1111,하기룡,M,#1552f8,선발,6.52,2.3,2.91,191.2,108,16,9,0,13,5.08,2.49,0.47,1,🧱 이닝이터
1982,1104,권영호,삼,#0061aa,선발,6.45,2.37,3.9,178.2,72,21,2,0,15,3.64,2.63,0.91,1,🧱 이닝이터
1982,1125,노상수,롯,#888888,선발,5.62,2.94,2.94,232.1,141,20,2,0,14,5.47,2.29,0.7,1,🧱 이닝이터
1982,1116,이선희,삼,#0061aa,선발,4.55,2.91,3.86,167.0,73,22,1,0,15,3.93,3.93,0.59,1,🧱 이닝이터
1982,1115,성낙수,삼,#0061aa,선발,4.06,2.81,3.73,125.0,56,19,2,0,8,4.03,1.66,1.08,1,🧱 이닝이터
1982,1059,김용남,해,#ff0c00,선발,3.34,3.09,3.17,175.0,85,17,0,0,9,4.37,2.16,0.62,1,🧱 이닝이터
1982,1107,유종겸,M,#1552f8,스윙,3.05,3.25,3.35,113.2,86,8,3,0,6,6.84,4.21,0.87,0,🎯 맞춰잡는 불펜
1982,1110,천창호,롯,#888888,선발,2.96,3.83,3.5,173.2,92,21,0,0,7,4.78,2.7,0.94,1,🧱 이닝이터
1982,1106,선우대영,O,#15326f,선발,2.78,3.39,2.95,138.0,65,20,0,0,7,4.24,2.02,0.52,1,🧱 이닝이터
1982,12726,김성한,해,#ff0c00,스윙,2.66,2.79,3.68,106.1,49,5,1,0,10,4.16,3.82,0.51,0,🎯 맞춰잡는 불펜
1982,1108,이길환,M,#1552f8,선발,2.22,3.61,3.47,117.1,54,14,0,0,7,4.15,2.61,0.61,1,🧱 이닝이터
1982,1076,방수원,해,#ff0c00,선발,1.93,3.85,3.51,154.1,63,15,1,0,6,3.68,2.8,0.58,1,🧱 이닝이터
1982,1113,강철원,O,#15326f,스윙,1.91,2.18,3.78,45.1,15,4,0,0,5,2.99,4.59,0.2,0,🎯 맞춰잡는 불펜
1982,1130,이광권,M,#1552f8,선발,1.84,3.72,3.81,116.0,57,16,2,0,7,4.42,3.57,0.62,1,🧱 이닝이터
1982,1085,이상윤,해,#ff0c00,선발,1.7,3.88,4.13,102.0,58,19,0,0,7,5.12,5.56,0.71,1,🎲 제구난
1982,1117,황태환,O,#15326f,스윙,1.44,3.86,4.79,86.1,42,6,3,0,6,4.39,3.87,1.25,0,🎯 맞춰잡는 불펜
1982,1120,김덕열,롯,#888888,스윙,1.08,3.88,3.89,60.1,27,7,0,0,1,4.04,3.89,0.9,0,🎯 맞춰잡는 불펜
1982,1124,김현홍,O,#15326f,스윙,1.0,3.03,4.05,29.2,10,2,0,0,0,3.08,6.47,0.0,0,🎲 제구난
1982,1121,김문희,롯,#888888,선발,0.65,4.12,4.52,91.2,18,17,0,0,4,1.78,3.06,0.99,1,🧱 이닝이터
1982,1119,강만식,해,#ff0c00,선발,0.58,4.44,3.82,144.0,86,19,1,0,5,5.38,4.31,0.69,1,🧱 이닝이터
1982,1071,박상열,O,#15326f,선발,0.53,4.22,3.86,111.0,35,10,0,0,10,2.84,2.76,0.57,1,🧱 이닝이터
1982,1109,정순명,M,#1552f8,선발,0.41,4.47,4.09,92.2,47,14,1,0,7,4.59,3.71,0.88,1,🧱 이닝이터
1982,1114,계형철,O,#15326f,선발,0.27,4.88,4.98,90.1,43,19,0,0,4,4.3,7.59,0.6,1,🎲 제구난
1982,1133,차준섭,M,#1552f8,스윙,0.21,4.84,2.55,35.1,24,5,0,0,3,6.15,2.05,0.51,0,🎯 맞춰잡는 불펜
1982,1122,김시철,M,#1552f8,스윙,0.19,3.18,7.62,5.2,0,2,0,0,1,0.0,15.58,0.0,0,🎲 제구난
1982,1131,이진우,롯,#888888,선발,0.05,5.27,4.7,82.0,49,10,1,0,5,5.38,5.6,1.1,1,🎲 제구난
1982,1079,송진호,삼,#0061aa,불펜,0.01,6.0,3.1,3.0,2,0,0,0,0,6.0,3.0,0.0,0,🎯 맞춰잡는 불펜
1982,1129,오문현,삼미,#88b7e1,선발,0.01,4.85,4.9,102.0,22,11,0,0,2,1.94,3.0,0.97,1,🧱 이닝이터
1982,1004,김경남,삼미,#88b7e1,스윙,0.0,6.0,3.93,3.0,1,1,0,0,0,3.0,6.0,0.0,0,🎲 제구난
1982,1127,박석채,M,#1552f8,스윙,0.0,6.06,4.51,35.2,18,4,0,0,2,4.6,4.6,1.02,0,🎯 맞춰잡는 불펜
1982,1135,한상연,삼미,#88b7e1,스윙,-0.11,5.84,5.73,12.1,2,2,0,0,0,1.49,3.72,1.49,0,💣 피홈런형
1982,1038,박영진,삼,#0061aa,스윙,-0.17,8.64,6.51,8.1,3,1,1,0,0,3.33,4.44,2.22,0,💣 피홈런형
1982,1134,최옥규,롯,#888888,스윙,-0.21,4.91,4.08,47.2,31,3,1,0,0,5.91,4.96,0.95,0,🎲 제구난
1982,1128,방기만,롯,#888888,스윙,-0.25,6.23,4.95,17.1,4,1,0,0,0,2.11,6.84,0.53,0,🎲 제구난
1982,1087,이윤섭,롯,#888888,스윙,-0.25,9.35,4.86,8.2,1,1,0,0,0,1.1,3.29,1.1,0,🎯 맞춰잡는 불펜
1982,1126,박경호,삼미,#88b7e1,스윙,-0.3,6.75,5.91,22.2,5,4,0,0,0,2.03,6.08,1.22,0,🎲 제구난
1982,1081,신태중,해,#ff0c00,스윙,-0.74,7.52,7.27,26.1,7,5,0,0,1,2.41,9.66,1.03,0,🎲 제구난
1982,1118,감사용,삼미,#88b7e1,선발,-1.05,6.46,5.49,133.2,23,16,1,0,1,1.55,3.11,1.69,1,💣 피홈런형
1982,1057,김동철,삼미,#88b7e1,선발,-1.33,7.06,6.04,93.0,19,15,1,0,1,1.84,5.03,1.45,1,💣 피홈런형
1982,1123,김재현,삼미,#88b7e1,선발,-1.61,6.13,4.07,192.1,62,20,1,0,6,2.9,2.95,0.84,1,🧱 이닝이터
1982,1132,인호봉,삼미,#88b7e1,선발,-2.36,6.56,6.26,133.0,41,11,2,0,5,2.77,6.5,1.29,1,🎲 제구난
1983,1176,장명부,삼미,#88b7e1,선발,10.98,2.36,2.43,427.1,220,44,6,0,30,4.64,2.23,0.4,1,🧱 이닝이터
