name,team,pos,owar,dwar,war,pa,wrcplus,bbpct,kpct,iso,sb,cs,gdp
김도영,HT,3B,6.58,0.75,7.33,500,175.2,13.4,17.0,0.338,8,1,8
오스틴,LG,1B,7.24,0.05,7.3,508,195.4,11.8,14.6,0.32,2,1,8
박성한,SK,SS,5.99,-0.48,5.52,508,142.8,14.6,13.4,0.1,5,2,2
힐리어드,KT,LF,4.59,0.49,5.07,486,138.7,10.1,28.2,0.262,7,3,3
페라자,HH,RF,4.4,0.46,4.86,474,143.4,16.2,19.4,0.222,10,4,7
김주원,NC,SS,4.03,0.8,4.83,479,112.9,8.6,13.2,0.151,28,5,4
최원준,KT,CF,4.46,0.36,4.82,503,140.4,10.7,13.9,0.13,22,8,3
구자욱,SS,LF,4.33,-0.42,3.91,413,161.2,12.6,14.0,0.205,5,1,3
박민우,NC,2B,3.78,0.06,3.84,425,128.1,12.2,13.6,0.108,36,10,9
레이예스,LT,RF,4.11,-0.43,3.68,493,145.8,8.3,10.5,0.173,1,1,9
노시환,HH,3B,3.48,0.1,3.57,470,125.2,9.4,26.2,0.233,3,3,14
서건창,WO,2B,2.94,0.45,3.38,376,138.1,10.4,9.6,0.084,2,2,7
나성범,HT,RF,3.2,0.16,3.37,451,140.9,10.0,26.8,0.241,0,0,10
허인서,HH,C,3.08,0.24,3.31,343,122.2,8.2,30.0,0.206,0,1,3
박찬호,OB,SS,3.0,0.31,3.31,481,102.6,9.1,14.1,0.097,27,7,11
디아즈,SS,1B,2.4,0.89,3.29,504,123.9,11.5,17.1,0.196,2,0,10
박준순,OB,SS,3.15,0.06,3.2,347,138.1,5.8,19.9,0.226,2,2,15
송찬의,LG,RF,3.02,0.18,3.2,316,152.3,7.9,23.7,0.236,1,0,8
김지찬,SS,CF,3.18,-0.26,2.92,434,114.6,13.1,7.6,0.034,20,3,2
박해민,LG,CF,1.95,0.94,2.9,459,105.2,9.8,11.5,0.077,31,11,6
최정,SK,3B,2.85,-0.04,2.81,305,159.5,12.1,21.6,0.31,3,1,7
