name,team,war,era,fip,ip,g,gf,sv,hd,k9,bb9,kbb
김재윤,SS,2.25,2.96,3.43,45.2,47,37,25,0,9.4,4.0,14.9
박영현,KT,2.07,2.36,4.07,45.2,41,34,21,0,9.0,4.2,12.3
김정우,OB,1.95,1.97,3.64,45.2,46,6,2,9,8.2,3.4,13.1
이승민,SS,1.75,1.94,4.07,46.1,50,4,1,16,7.4,4.5,7.7
손주영,LG,1.47,2.2,4.39,32.2,29,25,22,0,9.5,5.9,9.0
이영하,OB,1.37,3.65,3.32,49.1,41,32,17,0,11.0,4.2,17.5
조병현,SK,1.31,2.45,3.82,40.1,42,31,13,0,11.7,5.4,16.2
장찬희,SS,1.29,4.42,5.64,59.0,22,3,0,1,6.9,3.8,7.8
조상우,HT,1.29,1.94,3.78,41.2,46,10,1,14,6.6,3.3,8.5
박준영,HH,1.02,4.07,5.18,48.2,31,9,0,0,7.8,5.2,6.8
손동현,KT,1.02,3.48,4.73,41.1,44,9,0,7,6.1,3.9,5.9
유토,WO,0.99,3.38,3.1,40.0,44,22,13,10,9.7,2.5,19.5
유영찬,LG,0.98,0.75,3.12,12.0,13,12,11,0,9.0,4.5,13.3
박정민,LT,0.98,4.33,5.32,35.1,40,5,1,9,10.0,7.4,6.5
김택연,OB,0.93,2.78,4.6,32.1,30,8,3,7,10.7,5.0,14.4
장현식,LG,0.92,4.09,4.54,50.2,29,3,2,7,6.3,2.9,8.8
최준용,LT,0.9,3.6,4.35,45.0,44,24,14,6,9.2,4.2,12.8
문승원,SK,0.9,3.69,5.9,46.1,44,5,0,9,3.9,4.3,-1.0
주권,KT,0.89,3.27,4.95,41.1,35,20,0,1,3.9,3.1,2.4
최지광,SS,0.85,2.45,2.94,22.0,25,4,1,8,8.6,2.9,14.6
김영우,LG,0.81,3.44,3.86,34.0,39,5,0,3,7.1,3.4,9.6
원종현,WO,0.77,3.05,3.21,41.1,42,16,7,7,6.6,2.6,10.3
한재승,HT,0.77,4.27,5.58,40.0,42,9,0,1,5.8,5.0,2.3
이민우,HH,0.76,4.34,4.49,45.2,45,21,7,6,4.6,3.2,3.5
임기영,SS,0.75,3.89,4.83,39.1,29,18,0,1,5.8,2.1,9.5
전용주,KT,0.75,4.54,4.02,35.2,47,4,0,6,8.2,6.1,4.9
장유호,HH,0.73,2.52,5.18,25.0,20,1,0,2,6.5,3.6,7.8
이승현,SS,0.72,4.17,3.91,36.2,47,8,1,10,8.7,4.0,11.4
우규민,KT,0.7,3.07,4.67,29.1,36,13,0,3,4.0,1.2,7.2
신영우,NC,0.64,2.66,4.72,20.1,17,3,0,3,13.9,10.3,8.8
조동욱,HH,0.6,3.98,3.65,40.2,53,4,1,9,9.4,3.1,15.4
현도훈,LT,0.59,4.29,4.8,42.0,42,8,0,5,5.8,4.9,2.2
이태양,HT,0.57,2.86,4.52,22.0,19,5,0,3,5.7,2.5,8.9
곽도규,HT,0.55,2.12,3.06,17.0,24,1,0,7,9.5,3.7,14.9
황준서,HH,0.52,4.2,4.36,30.0,19,6,0,0,9.3,5.7,8.8
전상현,HT,0.52,3.5,2.99,18.0,20,2,0,8,8.0,1.0,20.0
전사민,NC,0.51,3.8,4.4,45.0,48,19,7,5,7.0,4.2,7.0
배찬승,SS,0.51,2.78,6.96,32.1,44,5,0,9,7.9,8.4,-1.3
김진성,LG,0.49,4.63,4.65,46.2,52,3,1,18,6.8,3.5,8.1
이용찬,OB,0.48,4.8,5.55,30.0,33,4,1,6,8.7,2.4,16.0
이민석,LT,0.46,5.73,4.81,48.2,18,2,0,1,6.7,5.0,4.0
이상규,HH,0.45,4.24,4.34,46.2,44,2,0,9,7.0,2.7,10.7
타카다,OB,0.44,4.56,5.41,25.2,12,0,0,1,6.1,4.6,3.5
박상원,HH,0.43,5.66,3.88,41.1,46,11,2,10,9.4,3.3,15.4
김강현,LT,0.41,2.49,4.49,21.2,22,11,0,3,4.2,4.7,-1.1
김원중,LT,0.41,3.66,4.37,39.1,44,16,5,12,6.2,4.1,5.1
이건욱,SK,0.39,4.13,4.54,28.1,28,5,0,1,8.0,3.8,10.6
이재희,SS,0.38,2.7,6.12,13.1,18,1,1,3,9.6,8.9,1.5
김영규,NC,0.35,3.92,5.5,20.2,28,2,0,2,8.5,7.6,1.9
윤태호,OB,0.35,1.74,3.7,10.1,12,7,1,1,8.0,5.3,6.8
쿠싱,HH,0.34,4.79,3.53,20.2,16,15,4,0,11.6,2.7,22.7
김진수,LG,0.34,4.17,5.51,45.1,43,8,1,8,5.6,3.4,5.5
박정훈,WO,0.32,5.24,4.99,55.0,39,1,0,10,7.2,5.4,4.3
박시원,LG,0.31,4.23,3.88,27.2,21,12,0,0,7.3,4.0,7.9
