team,pa,iso,hr,sb,sh,small_rate,bat_owar,bat_dwar,bat_war,starter_war,reliever_war,pit_war
HH,4301,0.16,132,68,52,2.79,20.8,-0.8,20.1,10.8,1.5,12.3
HT,4404,0.165,141,67,46,2.57,19.6,2.1,21.8,12.6,3.7,16.3
KT,4316,0.122,82,44,53,2.25,18.0,-0.1,17.8,14.5,5.5,20.0
LG,4352,0.134,103,68,59,2.92,19.8,0.2,19.9,7.8,3.9,11.7
LT,4244,0.126,86,81,26,2.52,9.3,-1.0,8.3,14.6,3.3,17.9
NC,3818,0.13,91,120,41,4.22,14.3,-0.4,14.0,11.8,-0.4,11.4
OB,4337,0.125,84,90,53,3.3,15.4,-0.7,14.7,14.9,4.3,19.2
SK,4455,0.147,121,77,39,2.6,14.2,-0.1,14.1,5.0,0.6,5.5
SS,4418,0.139,103,82,39,2.74,20.4,0.3,20.8,13.2,8.1,21.3
WO,4645,0.112,91,18,49,1.44,7.3,-2.1,5.3,6.7,-2.4,4.3
